episode,time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4,reward,cumulative_reward
1,0.06,0.0,0.0,0.00422220843798,0.0,0.0,0.0,0.0,0.0,0.140732571709,0.0,0.0,0.0,449.638216508,449.638216508,449.638216508,449.638216508,14.9918840972,14.9918840972
1,0.12000000000000001,0.0,0.0,0.0168800051018,0.0,0.0,0.0,0.0,0.0,0.281169125978,0.0,0.0,0.0,449.580868947,449.580868947,449.580868947,449.580868947,14.9807122425,29.9725963397
1,0.18,0.0,0.0,0.0379522021035,0.0,0.0,0.0,0.0,0.0,0.421195577215,0.0,0.0,0.0,449.523893896,449.523893896,449.523893896,449.523893896,14.9708371765,44.9434335162
1,0.23999999999999996,0.0,0.0,0.0673651020698,0.0,0.0,0.0,0.0,0.0,0.559176452923,0.0,0.0,0.0,448.997064016,448.997064016,448.997064016,448.997064016,14.9623530693,59.9057865855
1,0.3,0.0,0.0,0.104970988867,0.0,0.0,0.0,0.0,0.0,0.69428024829,0.0,0.0,0.0,448.245128317,448.245128317,448.245128317,448.245128317,14.955339897,74.8611264825
1,0.36000000000000004,0.0,0.0,0.150561012477,0.0,0.0,0.0,0.0,0.0,0.825301307367,0.0,0.0,0.0,447.14792884,447.14792884,447.14792884,447.14792884,14.9498669514,89.810993434
1,0.4200000000000001,0.0,0.0,0.203818746901,0.0,0.0,0.0,0.0,0.0,0.949860883234,0.0,0.0,0.0,445.332946241,445.332946241,445.332946241,445.332946241,14.9460718898,104.757065324
1,0.48000000000000015,0.0,0.0,0.264345739629,0.0,0.0,0.0,0.0,0.0,1.06760262562,0.0,0.0,0.0,443.417402284,443.417402284,443.417402284,443.417402284,14.9439904011,119.701055725
1,0.5400000000000001,0.0,0.0,0.331748838433,0.0,0.0,0.0,0.0,0.0,1.17905869713,0.0,0.0,0.0,441.674360269,441.674360269,441.674360269,441.674360269,14.9435413771,134.644597102
1,0.6000000000000002,0.0,0.0,0.405566063839,0.0,0.0,0.0,0.0,0.0,1.28140606945,0.0,0.0,0.0,439.042238504,439.042238504,439.042238504,439.042238504,14.9448147677,149.58941187
1,0.6600000000000003,0.0,0.0,0.485237772712,0.0,0.0,0.0,0.0,0.0,1.37421034033,0.0,0.0,0.0,436.255127909,436.255127909,436.255127909,436.255127909,14.9478405833,164.537252453
1,0.7200000000000003,0.0,0.0,0.570188946685,0.0,0.0,0.0,0.0,0.0,1.45739287063,0.0,0.0,0.0,433.417833465,433.417833465,433.417833465,433.417833465,14.9525508292,179.489803282
1,0.7800000000000004,0.0,0.0,0.659822768799,0.0,0.0,0.0,0.0,0.0,1.53030621675,0.0,0.0,0.0,430.340571822,430.340571822,430.340571822,430.340571822,14.9588986818,194.448701964
1,0.8400000000000004,0.0,0.0,0.753510194329,0.0,0.0,0.0,0.0,0.0,1.59252316524,0.0,0.0,0.0,427.083452434,427.083452434,427.083452434,427.083452434,14.9668362873,209.415538251
1,0.9000000000000005,0.0,0.0,0.850587824579,0.0,0.0,0.0,0.0,0.0,1.64332601788,0.0,0.0,0.0,423.541481752,423.541481752,423.541481752,423.541481752,14.9763219354,224.391860187
1,0.9600000000000005,0.0,0.0,0.95039423434,0.0,0.0,0.0,0.0,0.0,1.683495865,0.0,0.0,0.0,420.197763735,420.197763735,420.197763735,420.197763735,14.9872298724,239.379090059
1,1.0200000000000005,0.0,0.0,1.0522973645,0.0,0.0,0.0,0.0,0.0,1.71323093136,0.0,0.0,0.0,416.862171343,416.862171343,416.862171343,416.862171343,14.9994289035,254.378518962
1,1.0800000000000005,0.0,0.0,1.15562880432,0.0,0.0,0.0,0.0,0.0,1.73112339436,0.0,0.0,0.0,412.99276408,412.99276408,412.99276408,412.99276408,15.0129002737,269.391419236
1,1.1400000000000006,0.0,0.0,1.25969722229,0.0,0.0,0.0,0.0,0.0,1.7378136931,0.0,0.0,0.0,409.264523625,409.264523625,409.264523625,409.264523625,15.0275437208,284.418962957
1,1.2000000000000006,0.0,0.0,1.36384449038,0.0,0.0,0.0,0.0,0.0,1.73376807511,0.0,0.0,0.0,405.622879685,405.622879685,405.622879685,405.622879685,15.0432117894,299.462174746
1,1.2600000000000007,0.0,0.0,1.46740989553,0.0,0.0,0.0,0.0,0.0,1.71843535604,0.0,0.0,0.0,401.719511424,401.719511424,401.719511424,401.719511424,15.0598253189,314.522000065
1,1.3200000000000007,0.0,0.0,1.56974895471,0.0,0.0,0.0,0.0,0.0,1.69290492622,0.0,0.0,0.0,398.118853239,398.118853239,398.118853239,398.118853239,15.0772367782,329.599236843
1,1.3800000000000008,0.0,0.0,1.67023575048,0.0,0.0,0.0,0.0,0.0,1.65670832472,0.0,0.0,0.0,394.285142957,394.285142957,394.285142957,394.285142957,15.0953479092,344.694584753
1,1.4400000000000008,0.0,0.0,1.76826171326,0.0,0.0,0.0,0.0,0.0,1.6108897741,0.0,0.0,0.0,390.750507797,390.750507797,390.750507797,390.750507797,15.1140168385,359.808601591
1,1.5000000000000009,0.0,0.0,1.86325744454,0.0,0.0,0.0,0.0,0.0,1.5557117315,0.0,0.0,0.0,387.248604138,387.248604138,387.248604138,387.248604138,15.1331096891,374.94171128
1,1.560000000000001,0.0,0.0,1.95465344576,0.0,0.0,0.0,0.0,0.0,1.49090892069,0.0,0.0,0.0,383.592932446,383.592932446,383.592932446,383.592932446,15.1525494588,390.094260739
